KF3 log
z Pzz v Pvv abias Pbb
90752.6 16.7 16.7 482.5 -3.7 202.6
90751.4 16.7 11.0 482.5 -3.1 202.1
90752.8 16.7 15.4 482.4 -3.6 201.7
90750.8 16.7 7.0 482.4 -2.7 201.2
90746.9 16.7 -8.2 482.4 -1.0 200.8
90747.4 16.7 -6.0 482.4 -1.3 200.4
90745.1 16.7 -14.1 482.3 -0.4 199.9
90745.0 16.7 -13.5 482.3 -0.5 199.5
90746.3 16.7 -7.7 482.3 -1.1 199.0
90746.0 16.7 -8.4 482.2 -1.0 198.6
90744.9 16.7 -12.1 482.2 -0.7 198.2
90746.1 16.7 -6.7 482.2 -1.2 197.7
90745.8 16.7 -7.3 482.1 -1.2 197.3
90746.7 16.7 -3.5 482.1 -1.6 196.9
90747.6 16.7 0.3 482.1 -2.0 196.5
90749.4 16.7 6.7 482.1 -2.7 196.0
90753.1 16.7 20.0 482.0 -4.1 195.6
90752.7 16.7 17.1 482.0 -3.8 195.2
90753.2 16.7 17.6 482.0 -3.8 194.8
90752.9 16.7 15.3 481.9 -3.6 194.4
90751.1 16.7 7.3 481.9 -2.8 194.0
90752.3 16.7 11.3 481.9 -3.2 193.5
90754.6 16.7 18.8 481.9 -4.0 193.1
90755.2 16.7 19.9 481.8 -4.1 192.7
90753.3 16.7 11.2 481.8 -3.2 192.3
90753.6 16.7 11.5 481.8 -3.2 191.9
90752.7 16.7 7.3 481.8 -2.8 191.5
90756.0 16.7 18.9 481.7 -4.0 191.1
90753.1 16.7 6.7 481.7 -2.7 190.7
90751.4 16.7 -0.3 481.7 -2.0 190.3
90754.9 16.7 13.0 481.6 -3.4 189.9
90755.2 16.7 12.9 481.6 -3.4 189.5
90756.2 16.7 15.8 481.6 -3.7 189.1
90754.5 16.7 8.2 481.6 -2.9 188.7
90754.4 16.7 7.4 481.5 -2.8 188.4
90752.5 16.7 -0.2 481.5 -2.0 188.0
90755.4 16.7 10.2 481.5 -3.1 187.6
90754.8 16.7 7.2 481.5 -2.8 187.2
90749.1 16.7 -14.8 481.4 -0.6 186.8
90748.6 16.7 -15.6 481.4 -0.5 186.4
90748.1 16.7 -16.5 481.4 -0.5 186.0
90749.6 16.7 -9.7 481.4 -1.2 185.7
90754.4 16.7 8.6 481.3 -3.0 185.3
90755.0 16.7 10.5 481.3 -3.2 184.9
90754.9 16.7 9.4 481.3 -3.1 184.5
90757.9 16.7 20.1 481.3 -4.1 184.2
90759.8 16.7 25.7 481.2 -4.7 183.8
90760.0 16.7 24.8 481.2 -4.6 183.4
90758.4 16.7 19.5 481.2 -3.8 183.1
90756.3 16.7 14.2 481.2 -2.9 182.7
90756.5 16.7 16.8 481.1 -2.9 182.3
90754.4 16.7 11.7 481.1 -1.9 182.0
90753.5 16.7 16.6 481.1 -1.6 181.6
90752.4 16.7 20.6 481.1 -1.0 181.2
90753.1 16.7 31.8 481.0 -1.1 180.9
90755.7 16.7 52.2 481.0 -1.8 180.5
90756.6 16.7 64.2 481.0 -1.8 180.2
90760.2 16.7 83.5 481.0 -2.6 179.8
90761.9 16.7 95.5 480.9 -2.6 179.5
90759.5 16.7 90.1 480.9 -1.1 179.1
90761.7 16.7 104.0 480.9 -1.2 178.8
90761.5 16.7 109.8 480.9 -0.4 178.4
90761.0 16.7 111.7 480.8 0.6 178.1
90762.1 16.7 116.4 480.8 1.0 177.7
90765.2 16.7 124.8 480.8 0.7 177.4
90769.8 16.7 135.7 480.8 -0.1 177.0
90776.1 16.7 154.1 480.7 -1.3 176.7
90784.3 16.7 177.9 480.7 -3.2 176.3
90788.4 16.7 185.2 480.7 -3.4 176.0
90793.1 16.7 194.4 480.7 -3.7 175.7
90797.4 16.7 203.8 480.7 -3.9 175.3
90802.1 16.7 213.7 480.6 -4.1 175.0
90806.9 16.7 220.1 480.6 -4.3 174.7
90812.2 16.7 223.3 480.6 -4.6 174.3
90818.5 16.7 228.4 480.6 -5.2 174.0
90821.0 16.7 220.9 480.5 -4.5 173.7
90825.5 16.7 220.8 480.5 -4.5 173.3
90828.0 16.7 213.4 480.5 -3.9 173.0
90835.7 16.7 225.6 480.5 -5.1 172.7
90836.7 16.7 207.8 480.5 -3.8 172.4
90841.6 16.7 204.6 480.4 -4.1 172.0
90843.6 16.7 195.4 480.4 -3.4 171.7
90844.4 16.7 182.0 480.4 -2.3 171.4
90849.1 16.7 184.3 480.4 -2.7 171.1
90855.8 16.7 193.1 480.3 -3.7 170.7
90862.8 16.7 202.4 480.3 -4.8 170.4
90865.9 16.7 194.6 480.3 -4.4 170.1
90867.1 16.7 177.3 480.3 -3.5 169.8
90871.6 16.7 172.8 480.3 -3.8 169.5
90872.5 16.7 159.7 480.2 -3.0 169.2
90873.1 16.7 152.2 480.2 -2.1 168.9
90874.7 16.7 151.7 480.2 -1.6 168.5
90877.1 16.7 152.0 480.2 -1.4 168.2
90881.4 16.7 155.2 480.2 -1.8 167.9
90882.7 16.7 143.8 480.1 -1.2 167.6
90887.3 16.7 141.8 480.1 -1.8 167.3
90889.7 16.7 133.0 480.1 -1.6 167.0
90889.0 16.7 118.2 480.1 -0.5 166.7
90892.4 16.7 121.5 480.0 -0.9 166.4
90895.1 16.7 115.6 480.0 -1.0 166.1
90895.9 16.7 99.1 480.0 -0.4 165.8
90898.4 16.7 93.4 480.0 -0.6 165.5
90897.2 16.7 77.0 480.0 0.4 165.2
90898.1 16.7 69.5 479.9 0.7 164.9
90897.6 16.7 57.1 479.9 1.3 164.6
90897.0 16.7 46.0 479.9 1.9 164.3
90898.0 16.7 42.2 479.9 1.8 164.0
90900.1 16.7 44.4 479.9 1.4 163.7
90899.9 16.7 37.0 479.8 1.8 163.4
90897.4 16.7 20.7 479.8 2.9 163.1
90901.7 16.7 32.5 479.8 1.6 162.9
90905.1 16.7 39.9 479.8 0.7 162.6
90905.1 16.7 33.8 479.8 0.9 162.3
90906.2 16.7 30.9 479.7 0.8 162.0
90908.8 16.7 31.1 479.7 0.1 161.7
90913.9 16.7 39.2 479.7 -1.4 161.4
90918.0 16.7 43.7 479.7 -2.4 161.1
90914.8 16.7 23.0 479.7 -1.1 160.9
90916.5 16.7 25.4 479.7 -1.5 160.6
90914.4 16.7 12.6 479.6 -0.6 160.3
90912.0 16.7 1.9 479.6 0.2 160.0
90910.7 16.7 -7.9 479.6 0.7 159.7
90909.6 16.7 -16.8 479.6 0.9 159.5
90911.6 16.7 -13.1 479.6 0.2 159.2
90912.4 16.7 -19.3 479.5 -0.1 158.9
90913.0 16.7 -17.8 479.5 -0.5 158.6
90912.0 16.7 -22.9 479.5 -0.3 158.4
90910.2 16.7 -32.5 479.5 0.2 158.1
90913.4 16.7 -24.9 479.5 -1.1 157.8
90916.1 16.7 -20.5 479.4 -2.1 157.5
90916.4 16.7 -25.4 479.4 -2.3 157.3
90916.2 16.7 -23.9 479.4 -2.4 157.0
90911.2 16.7 -42.3 479.4 -1.0 156.7
90908.1 16.7 -53.4 479.4 -0.2 156.5
90908.7 16.7 -51.9 479.4 -0.8 156.2
90909.1 16.7 -54.5 479.3 -1.2 155.9
90907.4 16.7 -70.0 479.3 -1.1 155.7
90908.8 16.7 -68.5 479.3 -1.9 155.4
90907.0 16.7 -74.0 479.3 -1.8 155.1
90906.0 16.7 -72.3 479.3 -1.9 154.9
90901.5 16.7 -86.2 479.2 -1.0 154.6
90899.3 16.7 -91.5 479.2 -0.8 154.4
90899.2 16.7 -84.9 479.2 -1.4 154.1
