KF4 Log
z Pzz v Pvv atrue Paa abias Pbb
90755.5 14.6 -5.8 310.7 -4.0 35777.3 -0.4 209.1
90755.2 14.6 -6.5 310.7 -4.1 35777.3 -0.3 208.2
90753.7 14.6 -11.0 310.6 -4.4 35777.3 0.6 207.4
90754.1 14.6 -9.3 310.5 -3.9 35777.3 0.2 206.5
90751.6 14.6 -17.1 310.5 -7.3 35777.3 1.7 205.7
90752.5 14.6 -12.8 310.4 -6.1 35777.3 0.9 204.8
90750.8 14.6 -17.9 310.3 -7.3 35777.3 1.8 204.0
90752.9 14.6 -9.7 310.2 -4.5 35777.3 0.2 203.2
90754.1 14.6 -5.3 310.2 -4.2 35777.3 -0.6 202.4
90755.8 14.6 0.8 310.1 -1.7 35777.3 -1.8 201.5
90754.2 14.6 -4.9 310.0 -5.0 35777.3 -0.7 200.7
90751.5 14.6 -13.5 310.0 -7.2 35777.3 0.9 199.9
90753.0 14.6 -7.7 309.9 -4.5 35777.3 -0.2 199.2
90753.9 14.6 -4.5 309.8 -2.1 35777.3 -0.9 198.4
90753.4 14.6 -5.6 309.7 -3.9 35777.3 -0.6 197.6
90752.6 14.6 -8.3 309.7 -4.7 35777.3 -0.2 196.8
90755.1 14.6 0.8 309.6 -2.3 35777.3 -1.9 196.1
90756.0 14.6 3.5 309.5 -2.6 35777.3 -2.4 195.3
90751.9 14.6 -10.3 309.5 -7.2 35777.3 0.2 194.5
90753.8 14.6 -3.5 309.4 -3.8 35777.3 -1.1 193.8
90754.0 14.6 -2.7 309.4 -4.5 35777.3 -1.3 193.0
90755.6 14.6 2.5 309.3 -2.2 35777.3 -2.3 192.3
90756.3 14.6 4.7 309.2 -2.5 35777.3 -2.6 191.6
90754.2 14.6 -2.4 309.2 -3.5 35777.3 -1.4 190.9
90754.4 14.6 -1.7 309.1 -3.8 35777.3 -1.5 190.1
90753.9 14.6 -3.6 309.0 -4.4 35777.3 -1.2 189.4
90754.0 14.6 -2.8 309.0 -3.1 35777.3 -1.4 188.7
90754.8 14.6 -0.0 308.9 -2.8 35777.3 -1.9 188.0
90755.0 14.6 0.4 308.9 -2.4 35777.3 -1.9 187.3
90754.3 14.6 -2.1 308.8 -3.7 35777.3 -1.5 186.6
90754.4 14.6 -1.4 308.7 -3.8 35777.3 -1.6 185.9
90754.0 14.6 -2.9 308.7 -3.6 35777.3 -1.4 185.2
